metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2010,"Fairfield County",CT,us-ct-001,74634
Metropolitan,2010,"Hartford County",CT,us-ct-003,60028
Metropolitan,2010,"Middlesex County",CT,us-ct-007,70805
Metropolitan,2010,"New Haven County",CT,us-ct-009,57070
Metropolitan,2010,"New London County",CT,us-ct-011,61792
Metropolitan,2010,"Tolland County",CT,us-ct-013,74868
Metropolitan,2010,"Windham County",CT,us-ct-015,56564
Metropolitan,2010,"Anchorage Municipality",AK,us-ak-020,70524
Metropolitan,2010,"Fairbanks North Star Borough",AK,us-ak-090,60472
Metropolitan,2010,"Matanuska-Susitna Borough",AK,us-ak-170,68670
Metropolitan,2010,"Autauga County",AL,us-al-001,53049
Metropolitan,2010,"Baldwin County",AL,us-al-003,47618
Metropolitan,2010,"Bibb County",AL,us-al-007,35472
Metropolitan,2010,"Blount County",AL,us-al-009,42906
Metropolitan,2010,"Calhoun County",AL,us-al-015,37916
Metropolitan,2010,"Chilton County",AL,us-al-021,38553
Metropolitan,2010,"Colbert County",AL,us-al-033,37455
Metropolitan,2010,"Elmore County",AL,us-al-051,51013
Metropolitan,2010,"Etowah County",AL,us-al-055,36088
Metropolitan,2010,"Geneva County",AL,us-al-061,34418
Metropolitan,2010,"Greene County",AL,us-al-063,27117
Metropolitan,2010,"Hale County",AL,us-al-065,31790
Metropolitan,2010,"Henry County",AL,us-al-067,37851
Metropolitan,2010,"Houston County",AL,us-al-069,39290
Metropolitan,2010,"Jefferson County",AL,us-al-073,41740
Metropolitan,2010,"Lauderdale County",AL,us-al-077,39213
Metropolitan,2010,"Lawrence County",AL,us-al-079,37365
Metropolitan,2010,"Lee County",AL,us-al-081,40102
Metropolitan,2010,"Limestone County",AL,us-al-083,49667
Metropolitan,2010,"Lowndes County",AL,us-al-085,28754
Metropolitan,2010,"Madison County",AL,us-al-089,54633
Metropolitan,2010,"Mobile County",AL,us-al-097,39753
Metropolitan,2010,"Montgomery County",AL,us-al-101,41556
Metropolitan,2010,"Morgan County",AL,us-al-103,44859
Metropolitan,2010,"Pickens County",AL,us-al-107,31032
Metropolitan,2010,"Russell County",AL,us-al-113,32733
Metropolitan,2010,"Shelby County",AL,us-al-117,67135
Metropolitan,2010,"St. Clair County",AL,us-al-115,48296
Metropolitan,2010,"Tuscaloosa County",AL,us-al-125,43098
Metropolitan,2010,"Washington County",AL,us-al-129,37639
Metropolitan,2010,"Benton County",AR,us-ar-007,52417
Metropolitan,2010,"Cleveland County",AR,us-ar-025,40402
Metropolitan,2010,"Craighead County",AR,us-ar-031,37780
Metropolitan,2010,"Crawford County",AR,us-ar-033,39672
Metropolitan,2010,"Crittenden County",AR,us-ar-035,33938
Metropolitan,2010,"Faulkner County",AR,us-ar-045,46199
Metropolitan,2010,"Franklin County",AR,us-ar-047,38514
