"AREA","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","COUNT","EVENT_TYPE","POPULATION","RACE","SEX","SITE","YEAR"
"Alabama",133.6,141.9,137.7,4619,"Incidence",2610243,"All Races","Female","Female Breast","2022"
"Alabama",23.8,27.4,25.5,850,"Incidence",2610243,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Alabama",45,81.5,61.4,52,"Incidence",134161,"Hispanic of any race","Female","Female Breast","2022"
"Alabama",NA,NA,NA,NA,"Incidence",134161,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Alabama",NA,NA,NA,NA,"Incidence",15616,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Alabama",NA,NA,NA,NA,"Incidence",15616,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Alabama",80.7,143.5,108.7,52,"Incidence",45968,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Alabama",NA,NA,NA,NA,"Incidence",45968,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Alabama",134.2,151.2,142.5,1184,"Incidence",729384,"Non-Hispanic Black","Female","Female Breast","2022"
"Alabama",26.7,34.6,30.4,253,"Incidence",729384,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Alabama",132.4,142.5,137.4,3266,"Incidence",1685114,"Non-Hispanic White","Female","Female Breast","2022"
"Alabama",21.8,26.2,23.9,561,"Incidence",1685114,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Alaska",126.8,151.7,138.9,527,"Incidence",348105,"All Races","Female","Female Breast","2022"
"Alaska",23.6,35.5,29.1,103,"Incidence",348105,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Alaska",64.1,172.4,108.8,19,"Incidence",25202,"Hispanic of any race","Female","Female Breast","2022"
"Alaska",NA,NA,NA,NA,"Incidence",25202,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Alaska",147.8,225.4,183.7,97,"Incidence",59748,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Alaska",18.2,53,32.5,16,"Incidence",59748,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Alaska",61.2,129.1,90.5,32,"Incidence",33540,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Alaska",NA,NA,NA,NA,"Incidence",33540,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Alaska",NA,NA,NA,NA,"Incidence",14444,"Non-Hispanic Black","Female","Female Breast","2022"
"Alaska",NA,NA,NA,NA,"Incidence",14444,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Alaska",122,151.9,136.3,361,"Incidence",215171,"Non-Hispanic White","Female","Female Breast","2022"
"Alaska",23,38,29.8,71,"Incidence",215171,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Arizona",117.2,123.8,120.4,5745,"Incidence",3690782,"All Races","Female","Female Breast","2022"
"Arizona",21.6,24.5,23,1070,"Incidence",3690782,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Arizona",103.3,117.2,110.1,1032,"Incidence",1142192,"Hispanic of any race","Female","Female Breast","2022"
"Arizona",19.4,25.7,22.4,210,"Incidence",1142192,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Arizona",43.1,67.8,54.4,83,"Incidence",150586,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Arizona",NA,NA,NA,NA,"Incidence",150586,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Arizona",81.1,110.3,94.8,173,"Incidence",162408,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Arizona",23.8,41.1,31.5,57,"Incidence",162408,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Arizona",94.6,127,109.9,193,"Incidence",195029,"Non-Hispanic Black","Female","Female Breast","2022"
