"State","Breast_Cancer_Incidence_Rate","Uninsured_Rate","Insured_Rate","HS_or_higher","BA_or_higher","Median_Income","Combined_Education","state_lower","Normalized_Income"
"Alabama",137.7,13.6,86.4,88.8,30,59674,59.4,"alabama",59.067378027656
"Alaska",138.9,14.4,85.6,93.3,37.6,88121,65.45,"alaska",87.2251972245043
"Arizona",120.4,14.1,85.9,89.2,33.4,74568,61.3,"arizona",73.8099715917527
"Arkansas",121.2,11.9,88.1,89.1,29.7,55432,59.4,"arkansas",54.8685004998664
"California",125.9,9.1,90.9,84.7,41.5,91551,63.1,"california",90.6203292189217
"Colorado",136,9.6,90.4,93,41.5,89302,67.25,"colorado",88.3941916517367
"Connecticut",148.1,7.2,92.8,91.5,36,88429,63.75,"connecticut",87.5300662199214
"Delaware",147.9,8.3,91.7,92,34.2,82174,63.1,"delaware",81.3386520435131
"District of Columbia",123.7,3.9,96.1,93.7,45.9,101027,69.8,"district of columbia",100
"Florida",129.8,16.2,83.8,89.9,31.4,69303,60.65,"florida",68.5984934720421
"Georgia",135.5,16.6,83.4,89.5,32.8,72837,61.15,"georgia",72.0965682441328
"Hawaii",138.1,4.8,95.2,92.9,37.8,92458,65.35,"hawaii",91.5181090203609
"Idaho",136.9,11.5,88.5,92,34,72785,63,"idaho",72.0450968552961
"Illinois",140.1,9.4,90.6,90.4,32.8,76708,61.6,"illinois",75.9282172092609
"Indiana",120.8,9.4,90.6,90.2,29.4,66785,59.8,"indiana",66.1060904510675
"Iowa",139.3,6.1,93.9,93.5,28.8,69588,61.15,"iowa",68.880596276243
"Kansas",136.2,12.5,87.5,92.1,29.7,68925,60.9,"kansas",68.2243360685757
"Kentucky",129.8,7.6,92.4,89,28.8,59341,58.9,"kentucky",58.7377631722213
"Louisiana",132.5,10.3,89.7,87.3,27.9,55416,57.6,"louisiana",54.8526631494551
"Maine",134.4,9.6,90.4,94.6,33.9,69543,64.25,"maine",68.8360537282113
"Maryland",144.6,8.2,91.8,91.4,41.2,94991,66.3,"maryland",94.025359557346
"Massachusetts",134.5,3.3,96.7,91.3,40.7,94488,66,"massachusetts",93.5274728537916
"Michigan",134,6.6,93.4,91.8,33.5,66986,62.65,"michigan",66.3050471656092
"Minnesota",145.1,6.2,93.8,94,33.5,82338,63.75,"minnesota",81.5009848852287
"Mississippi",124.7,16.4,83.6,87.6,26.1,52719,56.85,"mississippi",52.1830797707543
"Missouri",138.6,12.2,87.8,91.6,29.1,64811,60.35,"missouri",64.1521573440763
"Montana",138.7,11.6,88.4,94,37.3,67631,65.65,"montana",66.9434903540638
"Nebraska",125,9.3,90.7,92.8,28.2,69597,60.5,"nebraska",68.8895047858493
"Nevada",113.7,15.3,84.7,87.4,31.1,72333,59.25,"nevada",71.5976917061776
"New Hampshire",144,6.9,93.1,94.5,38.3,89992,66.4,"new hampshire",89.077177388223
"New Jersey",143.6,9.6,90.4,90.7,37.8,96346,64.25,"new jersey",95.366585170301
"New Mexico",114.6,12.5,87.5,88,34.8,59726,61.4,"new mexico",59.1188494164926
"New York",140.8,6.8,93.2,87.9,33.8,79557,60.85,"new york",78.7482554168688
"North Carolina",140.9,13.6,86.4,90.2,33.8,67481,62,"north carolina",66.795015193958
"North Dakota",124.7,8.3,91.7,93.9,26.1,71970,60,"north dakota",71.2383818187217
"Ohio",133.1,8.1,91.9,91.8,31.7,65720,61.75,"ohio",65.051916814317
"Oklahoma",135.3,16.8,83.2,89.6,27.2,59673,58.4,"oklahoma",59.0663881932553
"Oregon",124.8,8.8,91.2,91.6,40.1,75657,65.85,"oregon",74.8879012541202
"Pennsylvania",135.1,7,93,92.2,33.3,71798,62.75,"pennsylvania",71.0681303018005
"Rhode Island",143.2,6.1,93.9,90.5,35,81854,62.75,"rhode island",81.0219050352876
"South Carolina",139,13.6,86.4,90.5,30.3,64115,60.4,"south carolina",63.4632326011858
"South Dakota",135.7,11.4,88.6,93.2,30.5,69728,61.85,"south dakota",69.0191730923416
"Tennessee",127.3,13.4,86.6,90.4,29.3,65254,59.85,"tennessee",64.5906539835885
"Texas",126.2,22.4,77.6,86.1,35.5,72284,60.8,"texas",71.549189820543
"Utah",133,10.6,89.4,93,33.5,89168,63.25,"utah",88.2615538420422
"Vermont",142.7,5.6,94.4,95,39.2,73991,67.1,"vermont",73.2388371425461
"Virginia",134.5,8.9,91.1,91.5,40.4,85873,65.95,"virginia",85.00004949172
"Washington",138.5,8.8,91.2,92.2,42.4,91306,67.3,"washington",90.377819790749
"West Virginia",127.9,9.1,90.9,89.1,28.9,54329,59,"west virginia",53.776713155889
"Wisconsin",136.4,7,93,93.5,31.5,70996,62.5,"wisconsin",70.2742831124353
"Wyoming",126.8,16.6,83.4,93.7,35.8,70042,64.75,"wyoming",69.329981094163
